store,city,address,url
2015,Mississauga,"Sandalwood Square, Sandalwood Square, 50 Bristol Road E.",http://www.thebeerstore.ca/locations/sandalwood-square
2010,Mississauga,"Streetsville, 65 Queen St.n.",http://www.thebeerstore.ca/locations/streetsville
2059,Mississauga,"Winston Churchill/Eglinton, Building A, 2925 Eglinton Ave. W.",http://www.thebeerstore.ca/locations/winston-churchilleglinton
3206,Mitchell,"Mitchell, 215 St. George Street",http://www.thebeerstore.ca/locations/mitchell
4356,Morrisburg,"Morrisburg, Morrisburg Shopping Centre, 111 Main Street",http://www.thebeerstore.ca/locations/morrisburg
4106,Mount Forest,"Mount Forest, 429 Main Street North",http://www.thebeerstore.ca/locations/mount-forest
4306,Napanee,"Napanee, Napanee Mall, 450 Centre Street",http://www.thebeerstore.ca/locations/napanee
4620,Nepean,"Nepean, 3500 Fallowfield Road",http://www.thebeerstore.ca/locations/nepean
4163,New Hamburg,"New Hamburg, 112 Burns Street",http://www.thebeerstore.ca/locations/new-hamburg
3542,New Liskeard,"New Liskeard, 50 Jaffray Street",http://www.thebeerstore.ca/locations/new-liskeard-0
3414,Newmarket,"Davis/Leslie, 1100 Davis Drive",http://www.thebeerstore.ca/locations/davisleslie
3423,Newmarket,"Newmarket, 16715 Yonge Street",http://www.thebeerstore.ca/locations/newmarket
3415,Newmarket,"Yonge St. N., 17725 Yonge Street",http://www.thebeerstore.ca/locations/yonge-st-n-0
4208,Niagara Falls,"Bridge St., 4670 Bridge Street",http://www.thebeerstore.ca/locations/bridge-st
4209,Niagara Falls,"Lundy's Lane, 6757 Lundys Lane",http://www.thebeerstore.ca/locations/lundys-lane
4210,Niagara Falls,"Stamford (Portage Rd.), 3739 Portage Road N.",http://www.thebeerstore.ca/locations/stamford-portage-rd
3693,Nipigon,"Nipigon, 154 Railway Street",http://www.thebeerstore.ca/locations/nipigon
3505,Noelville,"Noelville, 142 St. David Street North",http://www.thebeerstore.ca/locations/noelville
3503,North Bay,"Cassells St., 2035 Cassells Street",http://www.thebeerstore.ca/locations/cassells-st
3502,North Bay,"Lakeshore Drive, Nipissing Plaza, 390 Lakeshore Drive",http://www.thebeerstore.ca/locations/lakeshore-drive
3540,North Bay,"North Bay, 1065 Main Street West",http://www.thebeerstore.ca/locations/north-bay
2379,North York,"Billy Bishop, 81 Billy Bishop Way",http://www.thebeerstore.ca/locations/billy-bishop
2454,North York,"Centrepoint (Yonge/Steeles), Centrepoint Mall, 6212 Yonge Street",http://www.thebeerstore.ca/locations/centrepoint-yongesteeles
2455,North York,"Don Mills Rd/Barber Green Rd, 900a Don Mills Road",http://www.thebeerstore.ca/locations/don-mills-rdbarber-green-rd
2369,North York,"Finchdale Plaza (Weston), Finchdale Plaza, 2568 Finch Avenue W.",http://www.thebeerstore.ca/locations/finchdale-plaza-weston
2372,North York,"Jane/Finch, Norfinch Plaza, 2005 Finch Ave. W.",http://www.thebeerstore.ca/locations/janefinch
2361,North York,"Keele/Wilson, Downsview Plaza, 1010 Wilson Avenue",http://www.thebeerstore.ca/locations/keelewilson
2467,North York,"Peanut Plaza (Don Mills Rd.), Peanut Plaza, 3078 Don Mills Rd",http://www.thebeerstore.ca/locations/peanut-plaza-don-mills-rd
2453,North York,"Sheppard/Willowdale, 179 Sheppard Avenue E.",http://www.thebeerstore.ca/locations/sheppardwillowdale
2356,North York,"Wilson/Jane (Dallner), North York Sheridan Mall, 1718 Wilson Avenue",http://www.thebeerstore.ca/locations/wilsonjane-dallner
4307,Northbrook,"Northbrook, 12334 Highway #41",http://www.thebeerstore.ca/locations/northbrook
3010,Norwich,"Norwich, 49 Stover St. South",http://www.thebeerstore.ca/locations/norwich
2058,Oakville,"Glen Abbey Plaza, Glen Abbey Plaza, 1500 Upper Middle Road",http://www.thebeerstore.ca/locations/glen-abbey-plaza
